sample,adc,filtered,lead_off
781,5520,-39.360,0
782,5512,-21.645,0
783,5500,-6.281,0
784,5503,3.932,0
785,5489,8.059,0
786,5478,6.970,0
787,5494,2.565,0
788,5531,-3.067,0
789,5565,-7.980,0
790,5563,-10.471,0
791,5517,-9.500,0
792,5467,-5.417,0
793,5425,-0.260,0
794,5414,2.929,0
795,5450,1.520,0
796,5503,-5.275,0
797,5544,-15.765,0
798,5554,-26.428,0
799,5559,-33.505,0
800,5562,-34.465,0
801,5557,-28.514,0
802,5550,-16.340,0
803,5542,0.298,0
804,5541,18.864,0
805,5554,36.398,0
806,5537,50.063,0
807,5491,57.617,0
808,5430,57.496,0
809,5395,48.750,0
810,5402,31.387,0
811,5447,7.138,0
812,5486,-20.114,0
813,5551,-44.956,0
814,5606,-61.894,0
815,5631,-66.793,0
816,5594,-57.934,0
817,5536,-36.758,0
818,5511,-7.887,0
819,5516,22.191,0
820,5542,47.416,0
821,5587,64.152,0
822,5629,71.928,0
823,5653,72.966,0
824,5656,70.945,0
825,5653,69.624,0
826,5653,71.835,0
827,5669,79.109,0
828,5691,91.750,0
829,5725,109.074,0
830,5768,129.666,0
831,5796,151.761,0
832,5798,173.691,0
833,5775,194.107,0
834,5717,211.873,0
835,5674,225.732,0
836,5668,234.176,0
837,5700,235.945,0
838,5769,230.987,0
839,5844,221.248,0
840,5910,210.725,0
841,5949,204.637,0
842,5938,207.904,0
843,5932,223.441,0
844,5920,251.004,0
845,5938,287.212,0
846,5923,326.598,0
847,5869,362.844,0
848,5795,389.559,0
849,5713,400.892,0
850,5637,392.526,0
851,5578,362.935,0
852,5562,314.182,0
853,5585,251.866,0
854,5656,184.243,0
855,5720,120.782,0
856,5708,70.231,0
857,5652,38.242,0
858,5578,25.404,0
859,5495,27.029,0
860,5403,34.887,0
861,5317,39.703,0
862,5263,33.273,0
863,5229,9.994,0
864,5219,-32.120,0
865,5230,-90.960,0
866,5231,-160.531,0
867,5239,-232.048,0
868,5262,-295.797,0
869,5292,-343.240,0
870,5306,-368.810,0
871,5314,-371.194,0
872,5328,-353.704,0
873,5352,-323.221,0
874,5365,-287.866,0
875,5340,-254.506,0
876,5288,-227.472,0
877,5223,-208.857,0
878,5168,-199.661,0
879,5158,-200.640,0
880,5195,-212.167,0
881,5247,-233.190,0
882,5275,-260.323,0
883,5260,-288.157,0
884,5205,-310.990,0
885,5165,-325.019,0
886,5150,-329.602,0
887,5140,-326.951,0
888,5147,-320.857,0
889,5150,-315.346,0
890,5149,-313.632,0
891,5130,-317.430,0
892,5102,-326.733,0
893,5089,-340.040,0
894,5120,-354.794,0
895,5201,-367.667,0
896,5339,-374.605,0
897,5495,-370.845,0
898,5640,-351.264,0
899,5763,-311.299,0
900,5890,-248.106,0
901,6012,-161.258,0
902,6178,-52.577,0
903,6407,74.793,0
904,6748,217.952,0
905,7217,376.284,0
906,7792,553.545,0
907,8388,758.952,0
908,8910,1005.856,0
909,9223,1307.122,0
910,9275,1667.801,0
911,8989,2077.303,0
912,8341,2504.001,0
913,7428,2894.686,0
914,6455,3180.614,0
915,5586,3290.831,0
916,4942,3170.558,0
917,4548,2798.920,0
918,4363,2199.197,0
919,4405,1437.321,0
920,4580,609.110,0
921,4786,-179.512,0
922,4983,-834.002,0
923,5131,-1289.139,0
924,5203,-1519.159,0
925,5200,-1538.357,0
926,5153,-1393.277,0
927,5097,-1149.318,0
928,5054,-875.304,0
929,5029,-629.698,0
930,5033,-451.326,0
931,5034,-356.035,0
932,5027,-338.977,0
933,5022,-380.947,0
934,4996,-456.313,0
935,4968,-540.262,0
936,4967,-613.882,0
937,4988,-666.286,0
938,5024,-694.003,0
939,5023,-698.904,0
940,5045,-686.040,0
941,5049,-661.864,0
942,5018,-632.766,0
943,5013,-604.147,0
944,5031,-579.921,0
945,5031,-562.074,0
946,5025,-550.626,0
947,5043,-544.323,0
948,5076,-541.393,0
949,5136,-539.696,0
950,5177,-536.478,0
951,5222,-528.469,0
952,5286,-512.532,0
953,5322,-486.436,0
954,5351,-449.495,0
955,5371,-403.051,0
956,5367,-350.537,0
957,5343,-296.953,0
